id;produkt;kcal;bialko;weglowodany;tluszcze
344;Chleb slonecznikowy;245;6.9;39.7;6
345;Kawa z mlekiem (2 lyzki mleka 0%);5;0.5;0.1;0
346;Oliwa - Tesco;823;0;0;91
347;Przyprawa do kuchni wloskiej - Kamis;213;10;32;1.4
348;Len mielony;253;40;3;9
349;Ser Edamski - swiatowid;347;26;0;27
350;Herbata czerwona (parzona);1;1;0;1
351;Pomidory koktajlowe;18;0.1;4;0.1
352;Mleko laciate 2% - Mlekpol;50;3.2;4.7;2
353;Mizeria;60;1.3;3.8;4.8
354;Dorsz swiezy;69;16.5;0;0.3
355;Olej kokosowy;884;0;0;100
356;Jagody;57;0.7;14.5;0.3
357;Maka pszenna pelnoziarnista;332;9.6;74.5;1.9
358;Siemie lniane - Sante;513;19.8;1;41.9
359;Burak gotowany;44;1.7;10;0.2
360;Chleb zytni na zakwasie;213;3.9;44.8;1.1
361;Makaron jajeczny (ugotowany);146;5.7;27.1;1.6
362;Pomidory suszone w oleju;218;5.1;23.3;14.1
363;Kapusta czerwona;31;1.9;6.7;0.2
364;Kotlet z piersi kurczaka (w panierce smazony);260;21;6.9;17.2
365;smietana 18% tluszczu;189;2.5;4.4;18
366;Jajecznica na masle;216;13;1;18
367;Maslo klarowane;883;0;0;100
368;Ser Mozzarella;248;17.5;1.5;19
369;Przyprawa ziele angielskie;259;6.2;70.6;8.8
370;Bulka fitness - Lidl;270;9.5;49;4.2
371;Mieszanka warzywna chinska - Mrozna Kraina;37;2;5.7;0.4
372;Ser Ementaler pelnotlusty;383;28.8;0.1;28.7
373;Pierogi ruskie;215;6.2;37.9;3.8
374;Szynka parmenska Carpaccio;222;27.5;1;12
375;Szynka z indyka;126;18;2;4.8
376;Zupa jarzynowa;34;1;3.9;1.6
377;Kielbasa krakowska sucha;326;25.6;0;24.8
378;Filet z kurczaka;99;21.5;0;1.3
379;Kalarepa;33;2;6.2;0.3
380;Kakao (proszek);459;18.2;50.6;21.7
381;Kefir naturalny - Krasnystaw;57;4;5.7;2
382;Sok pomidorowy;18;0.8;3.8;0.2
383;Delma z maslem;352;0.5;1.5;39
384;Nalesniki z maki pszennej;212;8.1;34.5;4.9
385;Margaryna Rama Classic;532;0.5;0.5;60
386;Truskawki (mrozone);32;0.7;7.5;0.4
387;Jablko Jonagold;55;0.5;12;0.5
388;Szynka Delikatna lagodnie wedzona Kraina Wedlin - Biedronka;208;21;1;14
389;Pesto zielone - Tesco;411;4;3;42
390;Piers z kurczaka;99;21.5;0;1.3
391;Platki owsiane gotowane (owsianka na wodzie);74;2;12;1
392;Piers z kurczaka ugotowana;151;32.9;0;2
393;Czeresnie;63;1;14.6;0.3
394;Chleb pszenno-zytni z ziarnami;243;7;45.5;2.8
395;Bigos;112;10.4;2.4;7.2
396;Margaryna Benecol;540;0;0;60
397;Ciasto jablkowe (szarlotka);265;2.4;37.1;12.5
398;Pieczarki duszone;38;1.9;2.6;1.9
399;Twarog chudy - Biedronka;101;20;4;0.5
400;Tunczyk kawalki w oleju - Amerigo;287;20;0;23
401;Salatka jarzynowa (z majonezem);139;2.9;8.2;11.4
402;Maka pszenna typ 550;361;12;72.5;1.7
403;Makaron Pelnoziarnisty cale ziarno (nieugotowany);345;15.2;68;1.3
404;Fasola szparagowa zielona gotowana;35;1.9;7.9;0.3
405;Kurczak pieczone udko;218;24;0;13
406;Groszek konserwowy - Aldi;63;4.9;12.8;0.2
407;Kapusta biala (surowa);33;1.3;7.4;0.2
408;Chleb 7 zboz - Biedronka;206;5.2;38;1.4
409;Serek wiejski naturalny lekki - Bieluch;81;9;4.5;3
410;Warzywa na patelnie z przyprawa wloska - Hortex;49;2.7;7.1;0.9
411;Fasola czerwona (konserwowa) - Pudliszki;89;5.5;15.7;0.4
412;Sok 100% pomarancza z miazszem;43;0.6;9.5;0.5
413;Maslo oselkowe ekstra - Mleczna Dolina;753;0.6;0.8;83
414;Filet z kurczaka smazony bez panierki;239;24.6;0.5;15.7
415;Borowka;57;0.7;14.5;0.3
416;Filet z kurczaka gotowany;131;26;0;2
417;Pieczywo chrupkie 7 ziaren - Sonko;368;9;76.6;1.5
418;Chleb pelnoziarnisty;216;5.6;43.6;1.8
419;Kawa parzona z cukrem;56;1.2;10;1.1
420;Kukurydza konserwowa Nasza Spizarnia Biedronka;80;3;11;2
421;Czekolada mleczna;535;8;59;30
422;Sol;0;0;0;0
423;Maka pszenna;332;11;63;2.3
424;Grejpfrut czerwony;42;0.8;10.7;0.1
425;losos swiezy;127;20.5;0;4.4
426;Zupa ogorkowa;48;3.4;5;2.1
427;Serek topiony;215;16;16;10
428;losos filet;201;19.9;0;13.6
429;Mleko 2% - Pilos;50;4;5;2
430;Ser Gouda Serenada;339;28.2;0.1;26
431;Melon;33;0.8;8;0.2
432;Indyk (mieso mielone);180;16.9;0;12.5
433;Kasza jeczmienna;338;10.4;69.8;1.4
434;Ogorek malosolny;11;0.3;2.3;0.2
435;Salatka grecka;105;3;3.2;9.5
436;Mleko prawdziwe 1.5% - Biedronka;44;3;4.7;1.5
437;Sok jablkowy;46;0.1;11.3;0.1
438;Schab (surowy);128;24;0.4;3.5
439;Schab Pieczony Kraina Wedlin - Biedronka;146;21;3;5.5
440;Dynia;26;1;6.5;0.1
441;Szynka z indyka;132;19.6;0;5.2
442;Ziemniaki gotowane - puree;81;1.9;15.6;1.5
443;Kasza jeczmienna peczak (ugotowana);123;2;28;0.4
444;Zupa pomidorowa z ryzem;71;1.5;15.2;0.4
445;Piers z kurczaka wedzona;107;23;0;0.5
446;Kasza kuskus (ugotowana);112;6;23.2;0.2
447;Pieczywo chrupkie lekkie razowe - Sonko;363;8.6;74.2;1.5
448;Pieczarki smazone;246;3.4;3.3;24.3
449;Przyprawa galka muszkatolowa;525;5.8;49;36.3
450;Przyprawa Czaber;272;6.7;68.7;5.9
451;Chrzan;81;4.5;18.1;0.6
452;Dzem truskawkowy - Spizarnia Natury;147;0.5;35;0.5
453;Maslo roslinne;706;0.3;0.4;80
454;Ryz (ugotowany);115;3;25;0.4
455;Wafle ryzowe naturalne - Kupiec;374;8.5;73.3;3.3
456;Jogurt;62;5.1;6.2;1.5
