id;produkt;kcal;bialko;weglowodany;tluszcze
2201;Kielbasa z szynki;172;16;2.3;11
2202;Jogurt naturalny 0% tluszczu - Jovi;49;5.2;6.7;0.2
2203;Oscypek mlekowita;267;25;0;19
2204;Kotlet schabowy gotowany na parze;173;24.3;0;7.8
2205;Musli Fruchte;342;8.8;60;5.3
2206;Chleb graham - mieszany - Polanski;214;5.4;43.7;1.1
2207;Bulka Bagel Plain - Tesco;263;9.3;53.6;1
2208;Olej kokosowy - Virgin Bio;828;0;0;92
2209;Sekacz (ciasto);511;12.7;44.2;31.3
2210;Orzechowiec (ciasto);487;6.2;44.8;31
2211;Wafelek Prince Polo Classic XXL;530;5;58.5;30.5
2212;Jogurt Activia truskawka poziomka - Danone;76;2.8;13.1;1.4
2213;Popcorn bez tluszczu;387;12.9;77.9;4.5
2214;Ser topiony kremowy;277;9;4;25
2215;Jogurt naturalny kozi;77;5.6;2.8;5
2216;Udziec z indyka bez skory;144;19.3;0;6.7
2217;Chleb pelnoziarnisty ze slonecznikiem - Mestemacher;222;5.1;39.6;3.7
2218;Dzem wisniowy - lowicz;144;0.4;34.9;0.2
2219;zurawina suszona - Aldi;342;0.6;78.5;1.1
2220;Wafle kukurydziane czarny pieprz i konopie - Good Food;381;9.8;72;3.9
2221;Salata Mix - Aldi;16;1.3;3;0.2
2222;Lody Algida Big Milk;140;2.5;24;3.5
2223;Salatka Cezar z sosem - Fit & Easy;120;6.8;6.1;7.4
2224;Jogurt Activia do picia truskawka-kiwi;60;2.8;10;0.9
2225;Lody Kaktus;128;0.1;24.2;3.4
2226;Skrzydelka z kurczaka (smazone);310;21.4;11.2;20.1
2227;Sos koperkowy;43;1.8;3.8;2.6
2228;Platki gryczane blyskawiczne;387;9;81;3
2229;Ciastko kruche z marmolada;444;5.1;66.4;17.1
2230;Pizza Guseppe z kurczakiem - Dr. Oetker;252;8.7;30;11
2231;Slonecznik luskany - Makar;577;24.4;18.6;43.7
2232;Miod pszczeli nektarowy HUZAR;340;0;84;0
2233;Serek Wiejski (z malinami i zurawina) PIaTNICA;122;9;13;4
2234;Mleko laciate 3.8% Junior - Mlekpol;66;3.2;4.7;3.8
2235;Orzeszki ziemne;567;20;16;49
2236;Ser krolewski light - Sierpc;300;31;1.6;19
2237;Salatka (roszponka. pomidory cherry. ogorek. papryka. feta. oliwa);71;2.3;4.3;4
2238;Tatar;118;17.5;0.8;5
2239;Sos pomidorowy z oliwkami;68;1.5;6;3.7
2240;Barszcz czerwony - Winiary;23;0.2;4.9;0.3
2241;Makaron pelnoziarnisty Penne (nieugotowany) - Biedronka;345;15.2;68;1.3
2242;Ser zolty Edamer;312;25;0.1;23
2243;"Ciastko ""szarlotka"" ";290;2.7;40.3;13.5
2244;Cukierki owocowe;350;2.6;79.7;2.3
2245;Salami wloskie;425;21.7;1.2;37
2246;Kebab wolowy;202;9.9;20.3;10.4
2247;Chleb Fitness - Piekarnia pod telegrafem;242;6.1;55.2;1.3
2248;Chleb zytni na naturalnym zakwasie - Biedronka;247;7.8;49.5;1.3
2249;Orzechy ziemne niesolone;603;26;14;50
2250;Daktyle suszone - Makar;290;2;65.3;0.4
2251;Chleb alpejski - Biedronka;244;8.3;47;1.5
2252;Kebab w bulce;195;8.2;19.8;9.7
2253;Chleb pelnoziarnisty pumpernikiel - Oskroba;216;5.6;43.6;1.8
2254;Kolagen;360;90;0;0
2255;Ser bialy z rzodkiewka;153;9;3;11
2256;Ajerkoniak;280;4.4;28.4;6
2257;Sos salatkowy Wloski;291;0.4;10.4;28.4
2258;Chleb zytni litewski;235;6.1;49.4;1.9
2259;Nalesniki z jablkiem;161;3.8;32;3.2
2260;Otreby granulowane z truskawkami;333;12.5;36;8.5
2261;Surowka z marchwi;91;1.6;8.2;5.3
2262;Chleb zytni - Piekarnia Julka;226;6.4;44;1.2
2263;Chrupki kukurydziane paleczki - Tygryski;373;8.2;80;1.8
2264;Chleb zytni z 7 ziarnami - Biedronka;235;6.8;30;7.6
2265;Kotlet mielony smazony wieprzowy;248;19.5;5.9;17.7
2266;Serek twarogowy - Lidl;247;5;3;24
2267;Chleb szczecinski - Netto;245;9;48.6;1
2268;Szynka konserwowa wieprzowa (parzona);93;13.5;3;3
2269;Whey Protein;374;75;9;4
2270;Kurczak z rozna bez skory;100;21.5;0;1.3
2271;Koncentrat pomidorowy 30% Pudliszki;104;4.9;18;0.8
2272;Tunczyk kawalki w oleju slonecznikowym - Princes;197;25;0;10.8
2273;Ocet balsamiczny Varvello;141;0;32.4;0.1
2274;Slodka chwila Kisiel z kawalkami owocow - Dr.Oetker;63;0.1;15.8;0.1
2275;Herbata (nieparzona);0;0;0;0
2276;Dzem wisniowy niskoslodzony z kawalkami owocow - lowicz;144;0;35;0
2277;Piers indycza bez skory;104;17;4;2
2278;Serek lekki - Twoj Smak;157;3.4;9;12
2279;Golabki wlasnej roboty;117;12;13;1
2280;zelki - Haribo;343;6.9;77.4;0.1
2281;Barszcz czerwony z uszkami;95;6;17.2;0.4
2282;Kielbasa slaska z grilla 1;201;20.2;0;13.4
2283;Landrynki Wedel;387;0;96;0.2
2284;Sok ananasowy;53;0.4;12.9;0.1
2285;Konserwa turystyczna;168;9;4;13.2
2286;Bulka finska;222;7.2;41.1;3.6
2287;Poledwica drobiowa - JBB;93;20.4;0;1.2
2288;Sos slodko - kwasny - Pudliszki;91;0.8;21.6;0.2
2289;Makaron 5 jajeczny Krajanka - Czarnecki;369;13.3;69.6;3.4
2290;Poledwica sopocka wieprzowa;116;21;1;3
2291;Ser kozi;452;30.5;2.2;35.6
2292;bigos polski z kielbasa i grzybami pamapol DOM;108;2.9;3.5;8.5
2293;Jogurt proteinowy;65;11;4;0
2294;Filet z indyka wedzony - Zaklady Drobiarskie Kozieglowy;92;19;1;2
2295;Makrela (w puszce);156;23.2;0;6.3
2296;Mieszanka Wedlowska - Wedel;554;7.5;54;33
2297;Woda smakowa (cytrynowa);21;0;5;0
2298;Pasztet z indyka;212;7.8;5.1;17.9
2299;Pomysl na piers z kurczaka z czosnkiem i ziolami - Winiary;137;27.8;1;2.4
2300;WPC protein plus V3 80;348;80;4.4;1.2
2301;Maslo roslinne Flora pro-activ do smarowania pieczywa;325;0;2.5;35
2302;Twarozek wiejski lekki - Piatnica;81;11;2.4;3
2303;Kurczak (wedzony);195;27;0;11
2304;Chleb Razowy Fitness;198;5;36.9;3.2
2305;Zabielacz do kawy;557;1.5;59;35
2306;Fasola czerwona gotowana (bez soli);127;8.7;22.8;0.5
2307;Ciastko owsiane (domowego wypieku);447;6.8;66.4;17.9
2308;Pasztet drobiowy z pomidorami - Profi;208;8.1;5.7;17
2309;Ciastko kruche z nasionami dyni i slonecznika;518;12;47;31
2310;Maka pszenna tortowa typ 450 Lubella;352;10;74;1.1
2311;Ciastka Oreo;480;4.8;70;20
2312;Platki kukurydziane tradycyjne Corn Flakes - Biedronka;372;8.2;81.7;1.4
2313;Platki z pelnego ziarna z jablkiem i rodzynkami Frutina - Nestle;317;7.8;69.4;2.2
2314;Ser Radamer;339;26.2;0.1;26
2315;Ser Twarogowy Poltlusty - Zielona laka;128;20;3;4
2316;Pierogi z kapusta i grzybami (Swojska Chata);158;4.2;22;5
2317;Sos czosnkowy;230;1.5;11;20.5
2318;Maka chleba swietojanskiego - Karob;222;4.6;88.9;0.7
2319;Jajko w majonezie;248;6.2;1.8;23.5
2320;Mleczna Kanapka Kinder;420;8.2;34;28
2321;Lody Magnum Classic;300;4;27;19
2322;Jogurt typu greckiego z malinami - Piatnica;100;6;10;4
2323;Malze gotowane;148;25;5.1;1.9
2324;Czekolada Extra Gorzka (65% kakao) - Alpen Gold;560;7.1;37.5;39.5
2325;Tatar wolowy + zoltko. oliwa z oliwek. cebula. ogorek kiszony;140;12.8;1.3;9.5
2326;Olej lniany - Oleofarm;826;0;0;92
2327;Filet wedzony z piersi kurczaka - Pikok;111;21;0.1;3
2328;Passata z ziolami Sottile Gusto - Biedronka;31;1.7;4.4;0.5
2329;Kasza owsiana (ugotowana);125;5.4;26.3;2.8
2330;Poledwica z warzywami - Indykpol;92;11;3;4
2331;Mleko 2% MU! - Spar;48;3;4.6;2
2332;Creatine Powder Optimum Nutrition;0;0;0;0
2333;Filet z ryby w panierce smazony;232;15;17;12
2334;Placek po wegiersku;168;10.9;8.3;11.2
2335;Pasztecik z kapusta i grzybami;158;5.2;23.7;4.6
2336;Kielki na patelnie;128;9;22;0.3
2337;Tortilla z warzywami i kurczakiem;175;10.8;21.6;5
2338;Warzywa (grillowane);88;1.4;6.6;6.9
2339;Baton musli bar sliwka zurawina - Oshee;403;5.1;69.1;10.8
2340;Ostropest plamisty;302;34;5.1;11
2341;zurawina suszona - Lidl;341;1;78;1
2342;Szynka Babuni - Sokolow;97;18;1;3
2343;Cukierki Wherther's Original Creamy Filling;406;0.7;81.7;8.5
2344;Ryz Basmati - Tesco;356;8;77;1
2345;Kisiel Pyszny Kubek truskawkowy - Twoj Deser;55;0.1;13.4;0
2346;Chleb Dukana;218;9.5;28.2;6.5
2347;Chleb zytni pelnoziarnisty z pestkami dyni;180;5.3;33.3;2.8
2348;Platki ryzowe blyskawiczne;344;6.7;76.5;0.7
2349;Twarog solankowy wedzony Jana;217;13;3;17
2350;Makaron Tagliatelle (nieugotowany);288;11;55;2.3
2351;Twarog domowy tlusty;148;15.5;3.5;8
2352;Serek puszysty z cebula i szczypiorkiem laciaty - Mlekpol;250;5.8;4.9;23
2353;makaron penne ze szpinakiem i feta;102;3.2;9.4;5.2
2354;soda;0;0;0;0
2355;Sajgonki z warzywami;196;6.6;32;4.7
2356;Chleb owsiany;269;8.4;48.5;4.4
2357;Chlodnik litewski;64;4;2.9;4.1
2358;Indyk (mieso gotowane/pieczone);170;29.3;0;5
2359;Spaghetti po bolonsku z makaronem;233;12.3;25.6;8.8
2360;Ciasto plesniak;363;5.2;53.5;14.5
2361;Tarta z jablkami;180;3.6;20;9.7
2362;Chleb zytni wilenski;227;4.3;48;1.5
2363;Ogorki korniszony z chili;12;1;2;0
2364;Chleb zytni z dynia;230;5.1;42.1;3.5
2365;Chleb zytni - Frackowiak PiP;229;5.9;53;1.8
2366;Kawa rozpuszczalna z mlekiem 0.5% i ksylitolem;36;1;10;0
2367;Jajo r.M;139;12;1;10
2368;losos - Biedronka;220;19;0;16
2369;Ser Tylzycki;315;25;0;25
2370;Zupa rybna pomidorowa;74;7.5;6.8;1.7
2371;Brzoskwinie w syropie;60;0.5;15.5;0.4
2372;Ryz dlugoziarnisty (nieugotowany) - Tesco;355;7;79;1
2373;Sok jablkowo-marchwiowy z Sokowirowki;46;0.5;12.3;0.3
2374;Poledwica z indyka wedzona;90;19.1;1.9;0.7
2375;Chleb z pieca z ziarnami;237;6.6;45.8;2.8
2376;"zsiadle mleko ""Krasnystaw"" ";46;2.9;4;2
2377;Groszek konserwowy - Nasza Spizarnia. Biedronka;89;4.9;14;0.5
2378;Muffinka czekoladowa;352;6.7;36.5;20.4
2379;Zupa ziemniaczana;39;1.6;6.6;1.2
2380;Maslo orzechowe Mcennedy - Lidl;592;24;13;50
2381;"Szynka wedzona ""Maestro"" - Henryk Kania ";106;21;1;2
2382;Soczewica zielona ziarno;351;24.2;60.8;0.6
2383;Drazetki Tic Tac;397;0;97.5;0.6
2384;Mirinda (napoj);31;0;7.8;0
2385;Zupa cebulowa;34;0.7;3.2;2.3
2386;Makaron sojowy (ugotowany);86;0;20.9;0
2387;Lody Sorbet malinowy;145;0.7;33;0.2
2388;Ryba po grecku;99;8;9;4
2389;losos kawalki w wodzie - Amerigo;154;16;0;10
2390;OstroVit WPC80.eu Bialko OstroVit;379;78;14.3;1
2391;Chleb bialkowy - Mestemacher;261;20.7;12.6;12.2
2392;Jaja L;139;12;1;10
2393;Wedlina;237;29;1;13
2394;Kurczak z warzywami w galarecie;80;10;7.5;1.1
2395;Pumpernikiel;240;5.9;58.2;2
2396;Szynka gotowana z piersi kurczaka;102;20;1;2
2397;Chleb domowy razowy pszenny z otrebami i slonecznikiem;208;6.9;39.7;2.4
2398;Lody Tiramisu - Grycan;257;4.6;29.1;13.5
2399;Chleb wieloziarnisty mieszany;255;9.5;40;5
2400;Ser plesniowy Brie pelnotlusty;364;20.8;0.5;31.7
2401;Podudzie z kurczaka ze skora;161;19;0;9
2402;Pasztecik z miesem;329;8.7;30.5;19.9
2403;Wafle Andruty suche;350;7.9;72;4.8
2404;Chleb Dawny - Oskroba;215;5.2;45.1;1.5
2405;Bulka zytnia z dynia;326;11.8;46.4;10.3
2406;Chalwa sezamowa;519;14;48;29
2407;zoladki drobiowe;114;18.2;0.6;4.2
2408;Ser Edamski - Bluedino;347;26;0.1;27
2409;Ser Feta - Tolonis;190;13;7.5;12
2410;activlab recovery;340;40;45;0
2411;Frytki Zig Zak z piekarnika - Aviko;166;2.5;26.4;4.9
2412;Ryz pelnoziarnisty parboiled (nieugotowany) - Kupiec;358;7.7;75;2.4
2413;Indyk filet (surowy);84;19;0;1
2414;Pierniki mini - Katarzynki;338;7.4;73;1
2415;Sos chilli slodko - pikantny - Tao Tao;246;0.3;60.6;0.2
2416;Kabanos - Tarczynski;500;24.8;3;43.8
2417;Kielbasa kresowa - Sokolow;164;19;0.6;9.5
2418;Kielbasa smazona;266;16;0;22.8
2419;Piers z kurczaka (surowa);99;21.5;0;1.3
2420;Salatka z tunczykiem i kukurydza;131;5;13;7
2421;Serek chrzanowy - Almette;247;6;4;23
2422;Szynka - Balcerzak;87;16;0.8;2
2423;Baton Go on! protein bar;434;19.3;40.8;20
2424;Salatka ziemniaczana po zydowsku (z majonezem);114;1.5;13.5;6
2425;Pasta rybna z tunczyka;377;8;3;37
2426;Platki Corn Flakes - Nestle;375;7;83;1
2427;Bulka drozdzowa;280;9;46;6
2428;Kasza manna;348;8.7;76;1.3
2429;Slonecznik luskany prazony;568;19.1;24.3;48.9
2430;Kawa latte - Coffe Heaven;55;3.3;4.5;2.7
2431;Filet z kurczaka w panierce;264;15;22;13
2432;Ser zolty salami w plastrach 300g - swiatowid;352;26;1.3;27
2433;szynka wieprzowa gotowana krojona Lidl;103;20;1;2
2434;Filet pieczony z indyka Kraina Wedlin - Biedronka;107;20;1;2.5
2435;Salatka jarzynowa z jajkiem;152;2.3;11;11
2436;Jogurt naturalny typ grecki - Bakoma;123;3.7;4.6;10
2437;Surowka z bialej kapusty z kukurydza konserwowa i majonezem - Marwit;96;1.6;12.7;3.6
2438;Twarozek kanapkowo-sernikowy - Wielun;273;6;4;26
2439;Odzywka bialkowa stevia Whey - SFD;348;80;5;1
2440;Pieczywo chrupkie Herbs - Ryvita;346;11;59;5.5
2441;Pasztet sojowy;253;6;5.7;21
2442;Parowki - Sokolow;285;13;2;25
2443;Kanapka z serem i szynka. salata. ogorkiem i pomidorem;226;15.7;29.2;6.1
2444;sledzik marynarski w zalewie octowej - Nautica;103;12;3.5;4.5
2445;Cukierki;350;2.6;79.7;2.3
2446;TreC ISOLATE 100;347;84;1;0
2447;Surowka z kapusty pekinskiej. marchewki i jablka z majonezem lekkim;56;0.9;6.3;2.9
2448;Platki Granola z jagoda i granatem - Sante;424;7.7;68.3;12
2449;Pieczywo chrupkie lekkie 7 zboz - Wasa;340;10;69;3
2450;Nalewka Babuni miodowa;309;0;33;0
2451;Zupa meksykanska;99;8.7;8.6;3.3
2452;Fasola biala (ziarno suche) ;333;23.4;60.3;0.9
2453;Szprot wedzony;243;19.3;0;18.3
2454;Olej ryzowy;883;0;0;100
2455;Ser Krolewski zolty Mlekpol;347;26;0.1;27
2456;Krolik (pieczony);197;29.1;0;8.1
2457;Jogurt owoce lesne 2.5% tluszczu Jogobella - Zott;98;3.5;15.3;2.5
2458;Bulka do hamburgera;288;9.7;50.8;4.2
2459;Hummus marokanski;237;7.5;15;15
2460;Szynka wieprzowa konserwowa (Morliny);99;19;1.3;2
2461;Wafle zbozowo-ryzowe - Sunny Corn;375;12;75;2
2462;Morszczuk smazony;159;21;0;7.8
2463;Chleb Grzeskowy zytni na zakwasie;225;9;36;6
2464;Rodzynki w czekoladzie;427;4.8;62;16
2465;Bulka z serem;216;10;28;9
2466;smietanka PILOS 30%;293;2.5;3.2;30
2467;Bulka z nasionami slonecznika;293;11.8;46.9;8.7
2468;Pasztet z krolika;245;14;4;19
2469;Zupa jesienna warzywna (mrozonka) - Hortex;43;2.1;6.6;0.5
2470;Kabaczek;19;1;3.9;0.3
2471;Pomidor ugotowany;18;1;4;0.1
2472;Ryba z grilla;111;22.8;0.3;1.2
2473;Udko z kurczaka bez skory (duszone);198;22.9;0;12.4
2474;Zupa buraczkowa;37;1;6;1
2475;Chleb Fitness;257;7.7;34.3;8
2476;Pesto;340;3.7;6.3;34.6
2477;Ciasto z jablkami (ucierane);248;3;29;13
2478;Chleb wieloziarnisty pszenno zytni - Biedronka;277;8;45;5.6
2479;Sezamki Aha;505;10.2;60.1;26.4
2480;Jogurt naturalny polski - Mlekovita;64;3.9;5.3;3
2481;Krupnik na kurczaku;34;2;5.3;0.5
2482;Platki owsiane - Kupiec;378;12;63;7
2483;Koncentrat pomidorowy Dawtona;101;4.3;19;0
2484;Piwo zubr;51;0;0;0
2485;Premium Dessert Ciasteczkowy;347;80;3.7;1.4
2486;Przyprawa Gyros - Kamis;213;10;19;6
2487;Sucharki - Parovita;314;4.3;60;5.6
2488;Mieszanka bakaliowa orzechowa Nut Mix - Tesco;649;16;11;58
2489;Czekoladki Raffaello;623;9.3;38.8;47.8
2490;Szynka wedzona z indyka;184;37;1;3
2491;Watrobka z indyka;228;17.8;2.3;16.4
2492;BCAA 1100mg Olimp;320;80;0;0
2493;Maslo solone - President;725;0.7;0.5;80
2494;Szpinak mrozony liscie;19;2.5;0.5;0.3
2495;belvita- ciastka orzechy+ miod;455;7.6;69;15
2496;zurawina suszona - Sereno;331;0.5;78;1
2497;Szynka gotowana - Mazury;103;20;1;2
2498;Zupa krolewska HORTEX;43;2;5;1
2499;Zupa kalafiorowa z koperkiem Mrozna Kraina - Biedronka;35;2;5;0.2
2500;Jogurt naturalny sokolski 0% - Mlekpol;42;4.5;5.9;0
2501;Ser Ementaler;339;26.2;0.1;26
2502;Parowki wedzone z kurczaka;194;12.5;4;14.2
2503;Herbata zielona z owocami (parzona);1;0.1;0.2;0
2504;belVita kakaowe ciastka zbozowe;440;7.8;66;15
2505;Odzywka 100% Natural Whey Protein Concentrate - Olimp;395;77;6;7
2506;Kokos;354;3.3;15.2;33.5
2507;Ser Mozzarella tarty - Sottile Gusto;278;24;0.5;20
2508;Kielbasa slaska PIKOK;312;14.8;0.2;28
2509;Barszcz ukrainski - HORTEX;31;1.4;4.8;0.5
2510;Lody waniliowe - Grycan;264;4.6;25.8;15.8
2511;Pieprz cayenne;318;12;57;17
2512;Ryz paraboiled (nieugotowany);361;8.1;80;1
2513;Stek z poledwicy wolowej;243;27;0;14
2514;Zupa kalafiorowa z warzywami;21;1;2;1
2515;Mieszanka bakaliowa - Biedronka;508;14;30;35
2516;smietana 30% (Piatnica);292;2.2;3.3;30
2517;Szpinak Liscie mrozony - (TESCO);25;3.2;0.6;0.2
2518;Jogurt naturalny probiotyczny - Jana;87;4.7;6.9;4.5
2519;Lody Sorbet mango;119;0.3;27.8;0.3
2520;Boczek gotowany;517;10;0;53
2521;Kurczak po chinsku w sosie z makaronem i warzywami;152;13;18;3.1
2522;Musli bez cukru - Sante;340;8.6;61;4.4
2523;Otreby granulowane z zurawina - Sante;352;12;33;13
2524;Zupa Goracy Kubek Pomidorowa (po przyrzadzeniu) - Knorr;34;1.2;6.4;0.5
2525;Schab;128;24;0.4;3.5
2526;Musli - Master Crumble;334;10;59.2;6.4
2527;Chleb Pur-Pur;186;8.2;28.6;4.3
2528;Rogal swietomarcinski;480;10.4;47.4;29.2
2529;Makaron bezglutenowy penne (ugotowany);157;6.9;30.1;0.6
2530;Makaron spaghetti bogactwo blonnika - Pudliszki;336;11;64;1.5
2531;Jogurt naturalny z ziarnami zboz - Danone;97;4.1;13.4;2.9
2532;Wafle ryzowe Bio;388;8.2;80.9;2.8
2533;Chleb zytni For Fit - Benus;185;5.1;33;1.4
2534;Ser twarogowy Platek - Pilos;178;9;4;14
2535;smietana 36% (Piatnica);347;1.7;4.1;36
2536;Brokuly mrozone;29;2.7;4.7;0.4
2537;Ser zolty Maasdamer;347;26;0.1;27
2538;Kielbasa krakowska sucha - Biedronka;234;29;0;13
2539;Ciasteczka kruche z marmolada;444;5.1;66.4;17.1
2540;Chleb Dworski mieszany ze slonecznikiem - Piekarnia Cymes;273;7.3;42.4;8.3
2541;Maka orkiszowa;320;11.6;62.4;2.7
2542;Smietanka UHT 10% tluszczu MLECZNA DOLINA;120;3;5;10
2543;Platki Granola czekoladowa - Sante;433;7.6;63.3;15
2544;Kefir naturalny - Zott;44;3.3;3.8;1.4
2545;Wedzona makrela nautica LIDL;272;20.7;0;21
2546;Serek z lososiem Twoj smak - Piatnica;247;6.7;3.2;23
2547;Whey Protein odzywka;375;75;9;5
2548;Olej kokosowy bezzapachowy rafinowany - Aura Herbals;900;0;0;100
2549;Ptasie mleczko waniliowe - Wedel;441;2.8;57;22
2550;Mleko bez laktozy - Auchan;44;3;4.7;1.5
2551;Makaron Pastani Spaghetii (gotowany);121;4.5;24;0.6
2552;Kanapka z szynka i serem;289;12;40;9
2553;Konfitura malinowa;152;0.8;35;0.5
2554;Sos Tzatziki;85;3;5.9;5.7
2555;Schab (smazony);203;25.2;0;10.9
2556;Knedle ze sliwkami;152;2.3;32.6;1.1
2557;Zabielacz do kawy - La Movida;571;1.5;59.3;36
2558;Halibut swiezy;91;18.6;0;1.3
2559;Salceson czarny;340;12.6;0.5;32
2560;Chleb (ciasto) bananowy;326;4.3;54.6;10.5
2561;Woda kokosowa;19;0.7;3.7;0.2
2562;Serek wiejski z owocami;97;10.7;4.6;3.9
2563;Czekolada gorzka - Lidl;537;4.5;53.1;32
2564;Maslanka - Robico;48;3.4;5.1;1.5
2565;Ser Chedar;334;25;0;26
2566;Nalesniki z maki razowej;208;7.4;22.5;9.4
2567;Jogurt naturalny Calpro - Krasnystaw;60;4.5;6;2
2568;Szynka z kurczat plastry - Pikok;100;19.5;2.2;1.5
2569;Kielbasa krakowska podsuszana light;134;23.8;0;4.3
2570;Jogurt Activia jagoda - Danone;90;3.6;12.8;2.6
2571;Kapusta z grochem;109;3.3;6;9.5
2572;Zarodki pszenne - Sante;357;29.5;45.5;9.4
2573;Mleko 0.5% - Zambrowskie;45;3.2;4.7;1.5
2574;Chleb zytni razowy Bio - Lidl;217;6;42;2.3
2575;Kanapka z szynka. salata i pomidorem;137;5;20;5
2576;Galareta;82;6;0.3;5.9
2577;Platki owsiane (pozostale);376;12;62;7
2578;Napoleonka;350;5.8;43.5;16
2579;Wieprzowina (lopatka);148;19.6;0;7.1
2580;Platki sniadaniowe Dobry Blonnik - Bona Vita;244;12.8;50.7;4.1
2581;Serek Danio brzoskwiniowy;110;5.3;15.8;2.8
2582;Zupa Barszcz czerwony eksprowy (po przyrzadzeniu) - Knorr;20;0.2;4;0.3
2583;Poledwiczki z kurczaka - Tesco;116;22;0;3
2584;Jogurt naturalny 0% - Nestle;44;4;7;0
2585;Makaron pszenny (ugotowany);145;6.3;28;0.6
2586;jaja cale;140;12.5;1;9.7
2587;Piers kurczaka w papirusie;137;28;0.3;2
2588;Sos rybny;60;10;4.9;0
2589;Kielbasa mielonka;175;12.9;3.6;12
2590;Serek wiejski ziarnisty;97;11;2;5
2591;Salatka owocowa (wegetarianska);62;1;15;0
2592;Wafle ryzowe o smaku papryki - Arroza;415;7.2;74;9.7
2593;Boczek pieczony;305;15;0;27
2594;Bialko Pure Whey Isolate 95 - Olimp;352;86;1;0.5
2595;Ser Mozzarella Mini - Lovilio;245;18;1.5;18.5
2596;Piwo Warka STRONG;49;0.5;3.8;0
2597;Mielonka wieprzowa w galarecie;193;11;1.3;16
2598;Lody Big Milk - Algida;136;2.4;24;3.4
2599;Serek wiejski z truskawkami (PIaTNICA);118;9;12;4
2600;ananas w puszce Bakalland;70;0.4;16.9;0.1
2601;Chleb razowy zytni 6 ziaren;301;9.6;52.3;6
2602;URAMAKI lOSOs PHILADELPHIA;148;6.5;23;3.2
2603;Szynka domowa;200;13;0;16
2604;Musli owsiane polskie owoce - Vivi;334;8;65.4;4.1
2605;Lody orzechowe;253;4.5;25.1;15
2606;Boczniak (swiezy);35;3.5;6.5;0.4
2607;Jogurt typu greckiego z owocami 0% - Piatnica;84;7;14;0
2608;Salatka warzywna z majonezem;145;2.8;8.3;11.3
2609;Dorsz atlantycki (poledwica);82;18;0;1
2610;Surowka grecka (ogorki. marchewka. papryka. cebula. ocet);23;0.5;4.4;0.5
2611;Ciasto sliwkowe;243;3.7;28.3;12.7
2612;Papryka pomaranczowa;28;1.3;6.3;0.3
2613;Szynka wloska wieprzowa. parzona. krucha. bez konserwantow - Sokolow;104;20;1.2;2.1
2614;Ser Mozzarella light - Lovilio;157;19;1;8.5
2615;Baton marcepanowy w czekoladzie deserowej;401;6.3;56.7;16.6
2616;Bulka z otrebami;262;8.4;50.9;1
2617;Rogal Croissant Czekoladowy;385;6.6;43.2;20.7
2618;Izolat bialkowy;399;97;0;1.3
2619;Salatka Cezar - Fit & Easy;101;6.3;5.6;5.6
2620;Lasagne;134;7;15;4.9
2621;Pizza z szynka i pieczarkami z pieca kamiennego - Lidl;212;11.1;24.3;7.4
2622;Platki zbozowe Kangus - Nestle;382;7.9;82.8;2.1
2623;Weglowodany odzywka;354;0;88.5;0
2624;Mleko (pozostale);69;2.9;10;1.2
2625;Ser Ricotta;118;7.9;4.1;7.8
2626;Kurka swieza (grzyb);32;1.5;6.9;0.4
2627;Chlebek Pita pelnopszenny;266;9.8;55;2.6
2628;Serek kanapkowy z czosnkiem i ziolami - Hochland;212;5.9;4.3;19
2629;Jogurt pitny Danone;68;1.6;13.4;0.8
2630;Kluski na parze;242;5;52;3.5
2631;Szpinak mrozony liscie - Hortex;19;2.3;0.4;0.5
2632;Grochowka - Hortex;136;8;20.9;0.5
2633;Czekolada gorzka 70% ze skorka pomaranczy - Wawel;496;7.5;37.3;34.8
2634;Piers z indyka bez skory (surowa);100;22.3;0;1.2
2635;Chleb wiejski jasny;243;4.4;49.8;2.5
2636;Chleb pszenno-zytni z dynia;201;6.4;43.9;1.3
2637;Pieczywo chrupkie kukurydziane - Tovago;369;7.6;82;0.5
2638;Ser Feta Apetina z ziolami prowansalskimi - Arla;240;11;2.5;21
2639;Ser Camembert lekki - Turek;279;21;1.6;21
2640;Chleb zytni z ziarnami Just Fit - Biedronka;198;5.8;33.6;2.4
2641;Kielbasa morlinska z piersi kurczaka - Morliny;187;17;0.6;13
2642;Ketchup lagodny - Madero;135;1;32;0
2643;Kasza BULGUR - Lidl;330;13;62;1.5
2644;Kapusta wloska;43;3.3;7.8;0.4
2645;Jajko przepiorcze;158;13.1;0.4;11.1
2646;Jogurt sojowy;94;3.5;16;1.8
2647;Guma Mamba;400;0;88;6
2648;Papryka czerwona smazona;133;1;6.6;12.8
2649;Jajecznica ze szczypiorkiem;158;12;0;12
2650;Ser topiony kremowy Ementaler - Fasti;257;12;5.4;21
2651;Hummus - Biedronka;292;8;13;21
2652;Kielbasa mortadela wieprzowa;310;16;3.1;25
2653;zelki Candy z nadzieniem - Biedronka;336;5.8;77;0
2654;Domowy kapusniak;59;9;6;0.2
2655;Jogurt naturalny - Pilos;95;2.5;16;2.4
2656;Dzem morelowy niskoslodzony;195;0.3;48;0.1
2657;Platki Granola owocowa - Sante;397;8.1;55.7;13.7
2658;Zupa blyskawiczna kurczak curry - Vifon;72;1;9;3
2659;Muffiny (babeczki) z jagodami;393;5.3;49.5;19.2
